fecha,indicador,bloque,unidad,valor
2021-04-15,Dólar blue,monetario_financiero,$/USD (venta),143.0
2021-04-16,Dólar blue,monetario_financiero,$/USD (venta),142.0
2021-04-17,Dólar blue,monetario_financiero,$/USD (venta),142.0
2021-04-18,Dólar blue,monetario_financiero,$/USD (venta),142.0
2021-04-19,Dólar blue,monetario_financiero,$/USD (venta),143.0
2021-04-20,Dólar blue,monetario_financiero,$/USD (venta),143.0
2021-04-21,Dólar blue,monetario_financiero,$/USD (venta),144.0
2021-04-22,Dólar blue,monetario_financiero,$/USD (venta),147.0
2021-04-23,Dólar blue,monetario_financiero,$/USD (venta),152.0
2021-04-24,Dólar blue,monetario_financiero,$/USD (venta),152.0
2021-04-25,Dólar blue,monetario_financiero,$/USD (venta),152.0
2021-04-26,Dólar blue,monetario_financiero,$/USD (venta),158.0
2021-04-27,Dólar blue,monetario_financiero,$/USD (venta),161.0
2021-04-28,Dólar blue,monetario_financiero,$/USD (venta),162.0
2021-04-29,Dólar blue,monetario_financiero,$/USD (venta),154.0
2021-04-30,Dólar blue,monetario_financiero,$/USD (venta),150.0
2021-05-01,Dólar blue,monetario_financiero,$/USD (venta),150.0
2021-05-02,Dólar blue,monetario_financiero,$/USD (venta),150.0
2021-05-03,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-04,Dólar blue,monetario_financiero,$/USD (venta),154.0
2021-05-05,Dólar blue,monetario_financiero,$/USD (venta),151.0
2021-05-06,Dólar blue,monetario_financiero,$/USD (venta),151.0
2021-05-07,Dólar blue,monetario_financiero,$/USD (venta),151.0
2021-05-08,Dólar blue,monetario_financiero,$/USD (venta),151.0
2021-05-09,Dólar blue,monetario_financiero,$/USD (venta),151.0
2021-05-10,Dólar blue,monetario_financiero,$/USD (venta),152.0
2021-05-11,Dólar blue,monetario_financiero,$/USD (venta),151.0
2021-05-12,Dólar blue,monetario_financiero,$/USD (venta),152.0
2021-05-13,Dólar blue,monetario_financiero,$/USD (venta),151.0
2021-05-14,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-15,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-16,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-17,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-18,Dólar blue,monetario_financiero,$/USD (venta),156.0
2021-05-19,Dólar blue,monetario_financiero,$/USD (venta),156.0
2021-05-20,Dólar blue,monetario_financiero,$/USD (venta),155.0
2021-05-21,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-22,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-23,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-24,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-25,Dólar blue,monetario_financiero,$/USD (venta),153.0
2021-05-26,Dólar blue,monetario_financiero,$/USD (venta),155.0
2021-05-27,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-05-28,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-05-29,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-05-30,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-05-31,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-06-01,Dólar blue,monetario_financiero,$/USD (venta),155.0
2021-06-02,Dólar blue,monetario_financiero,$/USD (venta),156.0
2021-06-03,Dólar blue,monetario_financiero,$/USD (venta),156.0
2021-06-04,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-06-05,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-06-06,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-06-07,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-06-08,Dólar blue,monetario_financiero,$/USD (venta),156.0
2021-06-09,Dólar blue,monetario_financiero,$/USD (venta),156.0
2021-06-10,Dólar blue,monetario_financiero,$/USD (venta),157.0
2021-06-11,Dólar blue,monetario_financiero,$/USD (venta),158.0
2021-06-12,Dólar blue,monetario_financiero,$/USD (venta),158.0
2021-06-13,Dólar blue,monetario_financiero,$/USD (venta),158.0
2021-06-14,Dólar blue,monetario_financiero,$/USD (venta),158.0
2021-06-15,Dólar blue,monetario_financiero,$/USD (venta),160.0
2021-06-16,Dólar blue,monetario_financiero,$/USD (venta),163.0
2021-06-17,Dólar blue,monetario_financiero,$/USD (venta),163.0
2021-06-18,Dólar blue,monetario_financiero,$/USD (venta),164.0
2021-06-19,Dólar blue,monetario_financiero,$/USD (venta),164.0
2021-06-20,Dólar blue,monetario_financiero,$/USD (venta),164.0
2021-06-21,Dólar blue,monetario_financiero,$/USD (venta),164.0
2021-06-22,Dólar blue,monetario_financiero,$/USD (venta),165.0
2021-06-23,Dólar blue,monetario_financiero,$/USD (venta),166.0
2021-06-24,Dólar blue,monetario_financiero,$/USD (venta),170.0
2021-06-25,Dólar blue,monetario_financiero,$/USD (venta),174.0
2021-06-26,Dólar blue,monetario_financiero,$/USD (venta),174.0
2021-06-27,Dólar blue,monetario_financiero,$/USD (venta),174.0
2021-06-28,Dólar blue,monetario_financiero,$/USD (venta),173.0
2021-06-29,Dólar blue,monetario_financiero,$/USD (venta),170.0
2021-06-30,Dólar blue,monetario_financiero,$/USD (venta),168.0
2021-07-01,Dólar blue,monetario_financiero,$/USD (venta),169.0
2021-07-02,Dólar blue,monetario_financiero,$/USD (venta),170.0
2021-07-03,Dólar blue,monetario_financiero,$/USD (venta),170.0
2021-07-04,Dólar blue,monetario_financiero,$/USD (venta),170.0
2021-07-05,Dólar blue,monetario_financiero,$/USD (venta),171.0
2021-07-06,Dólar blue,monetario_financiero,$/USD (venta),171.0
2021-07-07,Dólar blue,monetario_financiero,$/USD (venta),172.0
2021-07-08,Dólar blue,monetario_financiero,$/USD (venta),174.0
2021-07-09,Dólar blue,monetario_financiero,$/USD (venta),174.0
2021-07-10,Dólar blue,monetario_financiero,$/USD (venta),174.0
2021-07-11,Dólar blue,monetario_financiero,$/USD (venta),174.0
2021-07-12,Dólar blue,monetario_financiero,$/USD (venta),179.0
2021-07-13,Dólar blue,monetario_financiero,$/USD (venta),176.0
2021-07-14,Dólar blue,monetario_financiero,$/USD (venta),177.0
2021-07-15,Dólar blue,monetario_financiero,$/USD (venta),178.0
2021-07-16,Dólar blue,monetario_financiero,$/USD (venta),179.0
2021-07-17,Dólar blue,monetario_financiero,$/USD (venta),179.0
2021-07-18,Dólar blue,monetario_financiero,$/USD (venta),179.0
2021-07-19,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-07-20,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-07-21,Dólar blue,monetario_financiero,$/USD (venta),183.0
2021-07-22,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-07-23,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-07-24,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-07-25,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-07-26,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-07-27,Dólar blue,monetario_financiero,$/USD (venta),183.0
2021-07-28,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-07-29,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-07-30,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-07-31,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-08-01,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-08-02,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-08-03,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-08-04,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-08-05,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-08-06,Dólar blue,monetario_financiero,$/USD (venta),178.0
2021-08-07,Dólar blue,monetario_financiero,$/USD (venta),178.0
2021-08-08,Dólar blue,monetario_financiero,$/USD (venta),178.0
2021-08-09,Dólar blue,monetario_financiero,$/USD (venta),179.0
2021-08-10,Dólar blue,monetario_financiero,$/USD (venta),178.0
2021-08-11,Dólar blue,monetario_financiero,$/USD (venta),178.0
2021-08-12,Dólar blue,monetario_financiero,$/USD (venta),178.0
2021-08-13,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-14,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-15,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-16,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-17,Dólar blue,monetario_financiero,$/USD (venta),183.0
2021-08-18,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-19,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-20,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-21,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-22,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-23,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-24,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-25,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-26,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-27,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-28,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-29,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-30,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-08-31,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-09-01,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-09-02,Dólar blue,monetario_financiero,$/USD (venta),180.0
2021-09-03,Dólar blue,monetario_financiero,$/USD (venta),181.0
2021-09-04,Dólar blue,monetario_financiero,$/USD (venta),181.0
2021-09-05,Dólar blue,monetario_financiero,$/USD (venta),181.0
2021-09-06,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-09-07,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-09-08,Dólar blue,monetario_financiero,$/USD (venta),187.0
2021-09-09,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-09-10,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-11,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-12,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-13,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-09-14,Dólar blue,monetario_financiero,$/USD (venta),182.0
2021-09-15,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-16,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-09-17,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-18,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-19,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-20,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-09-21,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-09-22,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-23,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-09-24,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-09-25,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-09-26,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-09-27,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-09-28,Dólar blue,monetario_financiero,$/USD (venta),187.0
2021-09-29,Dólar blue,monetario_financiero,$/USD (venta),187.0
2021-09-30,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-01,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-02,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-03,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-04,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-10-05,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-10-06,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-07,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-10-08,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-10-09,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-10-10,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-10-11,Dólar blue,monetario_financiero,$/USD (venta),184.0
2021-10-12,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-10-13,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-10-14,Dólar blue,monetario_financiero,$/USD (venta),185.0
2021-10-15,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-16,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-17,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-18,Dólar blue,monetario_financiero,$/USD (venta),186.0
2021-10-19,Dólar blue,monetario_financiero,$/USD (venta),187.0
2021-10-20,Dólar blue,monetario_financiero,$/USD (venta),188.0
2021-10-21,Dólar blue,monetario_financiero,$/USD (venta),191.0
2021-10-22,Dólar blue,monetario_financiero,$/USD (venta),195.0
2021-10-23,Dólar blue,monetario_financiero,$/USD (venta),195.0
2021-10-24,Dólar blue,monetario_financiero,$/USD (venta),195.0
2021-10-25,Dólar blue,monetario_financiero,$/USD (venta),194.0
2021-10-26,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-10-27,Dólar blue,monetario_financiero,$/USD (venta),197.0
2021-10-28,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-10-29,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-10-30,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-10-31,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-11-01,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-11-02,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-11-03,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-11-04,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-11-05,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-11-06,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-11-07,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-11-08,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-11-09,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-11-10,Dólar blue,monetario_financiero,$/USD (venta),205.0
2021-11-11,Dólar blue,monetario_financiero,$/USD (venta),206.0
2021-11-12,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-11-13,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-11-14,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-11-15,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-11-16,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-11-17,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-18,Dólar blue,monetario_financiero,$/USD (venta),201.0
2021-11-19,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-20,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-21,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-22,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-23,Dólar blue,monetario_financiero,$/USD (venta),201.0
2021-11-24,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-11-25,Dólar blue,monetario_financiero,$/USD (venta),201.0
2021-11-26,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-27,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-28,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-11-29,Dólar blue,monetario_financiero,$/USD (venta),201.0
2021-11-30,Dólar blue,monetario_financiero,$/USD (venta),202.0
2021-12-01,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-02,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-03,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-04,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-05,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-06,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-12-07,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-12-08,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-12-09,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-12-10,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-12-11,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-12-12,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-12-13,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-12-14,Dólar blue,monetario_financiero,$/USD (venta),196.0
2021-12-15,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-12-16,Dólar blue,monetario_financiero,$/USD (venta),198.0
2021-12-17,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-18,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-19,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-20,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-21,Dólar blue,monetario_financiero,$/USD (venta),199.0
2021-12-22,Dólar blue,monetario_financiero,$/USD (venta),200.0
2021-12-23,Dólar blue,monetario_financiero,$/USD (venta),204.0
2021-12-24,Dólar blue,monetario_financiero,$/USD (venta),204.0
2021-12-25,Dólar blue,monetario_financiero,$/USD (venta),204.0
2021-12-26,Dólar blue,monetario_financiero,$/USD (venta),204.0
2021-12-27,Dólar blue,monetario_financiero,$/USD (venta),204.0
2021-12-28,Dólar blue,monetario_financiero,$/USD (venta),206.0
2021-12-29,Dólar blue,monetario_financiero,$/USD (venta),209.0
2021-12-30,Dólar blue,monetario_financiero,$/USD (venta),208.0
2021-12-31,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-01,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-02,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-03,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-01-04,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-01-05,Dólar blue,monetario_financiero,$/USD (venta),207.0
2022-01-06,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-07,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-08,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-09,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-10,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-01-11,Dólar blue,monetario_financiero,$/USD (venta),209.0
2022-01-12,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-01-13,Dólar blue,monetario_financiero,$/USD (venta),210.0
2022-01-14,Dólar blue,monetario_financiero,$/USD (venta),210.0
2022-01-15,Dólar blue,monetario_financiero,$/USD (venta),210.0
2022-01-16,Dólar blue,monetario_financiero,$/USD (venta),210.0
2022-01-17,Dólar blue,monetario_financiero,$/USD (venta),209.0
2022-01-18,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-01-19,Dólar blue,monetario_financiero,$/USD (venta),213.0
2022-01-20,Dólar blue,monetario_financiero,$/USD (venta),214.0
2022-01-21,Dólar blue,monetario_financiero,$/USD (venta),219.0
2022-01-22,Dólar blue,monetario_financiero,$/USD (venta),219.0
2022-01-23,Dólar blue,monetario_financiero,$/USD (venta),219.0
2022-01-24,Dólar blue,monetario_financiero,$/USD (venta),219.0
2022-01-25,Dólar blue,monetario_financiero,$/USD (venta),220.0
2022-01-26,Dólar blue,monetario_financiero,$/USD (venta),221.0
2022-01-27,Dólar blue,monetario_financiero,$/USD (venta),222.0
2022-01-28,Dólar blue,monetario_financiero,$/USD (venta),212.0
2022-01-29,Dólar blue,monetario_financiero,$/USD (venta),212.0
2022-01-30,Dólar blue,monetario_financiero,$/USD (venta),212.0
2022-01-31,Dólar blue,monetario_financiero,$/USD (venta),213.0
2022-02-01,Dólar blue,monetario_financiero,$/USD (venta),214.0
2022-02-02,Dólar blue,monetario_financiero,$/USD (venta),216.0
2022-02-03,Dólar blue,monetario_financiero,$/USD (venta),216.0
2022-02-04,Dólar blue,monetario_financiero,$/USD (venta),214.0
2022-02-05,Dólar blue,monetario_financiero,$/USD (venta),214.0
2022-02-06,Dólar blue,monetario_financiero,$/USD (venta),214.0
2022-02-07,Dólar blue,monetario_financiero,$/USD (venta),214.0
2022-02-08,Dólar blue,monetario_financiero,$/USD (venta),215.0
2022-02-09,Dólar blue,monetario_financiero,$/USD (venta),217.0
2022-02-10,Dólar blue,monetario_financiero,$/USD (venta),216.0
2022-02-11,Dólar blue,monetario_financiero,$/USD (venta),216.0
2022-02-12,Dólar blue,monetario_financiero,$/USD (venta),216.0
2022-02-13,Dólar blue,monetario_financiero,$/USD (venta),216.0
2022-02-14,Dólar blue,monetario_financiero,$/USD (venta),215.0
2022-02-15,Dólar blue,monetario_financiero,$/USD (venta),215.0
2022-02-16,Dólar blue,monetario_financiero,$/USD (venta),215.0
2022-02-17,Dólar blue,monetario_financiero,$/USD (venta),214.0
2022-02-18,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-02-19,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-02-20,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-02-21,Dólar blue,monetario_financiero,$/USD (venta),212.0
2022-02-22,Dólar blue,monetario_financiero,$/USD (venta),210.0
2022-02-23,Dólar blue,monetario_financiero,$/USD (venta),210.0
2022-02-24,Dólar blue,monetario_financiero,$/USD (venta),210.0
2022-02-25,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-02-26,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-02-27,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-02-28,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-03-01,Dólar blue,monetario_financiero,$/USD (venta),211.0
2022-03-02,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-03-03,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-03-04,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-05,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-06,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-07,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-08,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-09,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-03-10,Dólar blue,monetario_financiero,$/USD (venta),203.0
2022-03-11,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-12,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-13,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-14,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-03-15,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-03-16,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-17,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-18,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-19,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-20,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-21,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-22,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-23,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-24,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-25,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-26,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-27,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-03-28,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-03-29,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-03-30,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-03-31,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-04-01,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-04-02,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-04-03,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-04-04,Dólar blue,monetario_financiero,$/USD (venta),199.0
2022-04-05,Dólar blue,monetario_financiero,$/USD (venta),196.0
2022-04-06,Dólar blue,monetario_financiero,$/USD (venta),196.0
2022-04-07,Dólar blue,monetario_financiero,$/USD (venta),196.0
2022-04-08,Dólar blue,monetario_financiero,$/USD (venta),196.0
2022-04-09,Dólar blue,monetario_financiero,$/USD (venta),196.0
2022-04-10,Dólar blue,monetario_financiero,$/USD (venta),196.0
2022-04-11,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-12,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-13,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-14,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-15,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-16,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-17,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-18,Dólar blue,monetario_financiero,$/USD (venta),195.0
2022-04-19,Dólar blue,monetario_financiero,$/USD (venta),198.0
2022-04-20,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-04-21,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-04-22,Dólar blue,monetario_financiero,$/USD (venta),203.0
2022-04-23,Dólar blue,monetario_financiero,$/USD (venta),203.0
2022-04-24,Dólar blue,monetario_financiero,$/USD (venta),203.0
2022-04-25,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-04-26,Dólar blue,monetario_financiero,$/USD (venta),212.0
2022-04-27,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-04-28,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-04-29,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-04-30,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-05-01,Dólar blue,monetario_financiero,$/USD (venta),200.0
2022-05-02,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-05-03,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-05-04,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-05-05,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-05-06,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-05-07,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-05-08,Dólar blue,monetario_financiero,$/USD (venta),201.0
2022-05-09,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-05-10,Dólar blue,monetario_financiero,$/USD (venta),202.0
2022-05-11,Dólar blue,monetario_financiero,$/USD (venta),205.0
2022-05-12,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-05-13,Dólar blue,monetario_financiero,$/USD (venta),203.0
2022-05-14,Dólar blue,monetario_financiero,$/USD (venta),203.0
2022-05-15,Dólar blue,monetario_financiero,$/USD (venta),203.0
2022-05-16,Dólar blue,monetario_financiero,$/USD (venta),205.0
2022-05-17,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-05-18,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-05-19,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-05-20,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-05-21,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-05-22,Dólar blue,monetario_financiero,$/USD (venta),204.0
2022-05-23,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-05-24,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-05-25,Dólar blue,monetario_financiero,$/USD (venta),208.0
2022-05-26,Dólar blue,monetario_financiero,$/USD (venta),207.0
2022-05-27,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-05-28,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-05-29,Dólar blue,monetario_financiero,$/USD (venta),206.0
2022-05-30,Dólar blue,monetario_financiero,$/USD (venta),206.0
